ComplaintID,Date,Time,Province,District,CustomerType,CustomerPlan,ComplaintChannel,ComplaintText,Language,Category,SubCategory,Priority,Severity,Department,Status,AssignedEngineer,Resolution,ResolutionHours,Escalated,DuplicateTicket,Sentiment,CustomerRating,NetworkTechnology,DeviceType,RouterBrand,EstimatedCost,AISummary
NTC-202607-014878,2026-07-06,22:07:08,Koshi,Dhankuta,Corporate,Dedicated Enterprise Fiber 1Gbps,Web Portal,Complain: Mobile banking ko OTP code aaudai aayena text message ma.,Nepali-English,SMS Failure,OTP SMS Delayed,Low,Low,Mobile Team,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Neutral,,5G,4G CPE Router,N/A,175.36,Customer unable to send or receive SMS / OTP notifications.
NTC-202603-012748,2026-03-06,06:13:37,Karnali,Salyan,Residential,Fiber 50Mbps,Call Center (198),PHONE GARDA NETWORK BUSY MATRA DEKHAUCHHA CONTINUOUS.,Nepali-English,Voice Call,One-Way Audio,Medium,Medium,Mobile Team,Escalated,Eng. Ramesh Shrestha,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,5G,Fiber Media Converter,N/A,288.77,Voice call quality degradation or call establishment failure.
NTC-202604-001422,2026-04-21,15:14:12,Bagmati,Kathmandu,Corporate,Dedicated Enterprise Fiber 1Gbps,Mobile App,Username password correct hunda pani log-in huna sakina optical connection ma.,Nepali-English,Authentication,RADIUS Server Timeout,Critical,High,Network Operations,Resolved,Eng. Bikash Thapa,Field team dispatched to site in Kathmandu. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,3.09,True,False,Angry,5,FTTH,Fiber Media Converter,Huawei,3693.44,PPPoE or RADIUS AAA authentication rejection.
NTC-202606-014792,2026-06-26,00:30:05,Lumbini,Arghakhanchi,Corporate,Dedicated Internet 100Mbps,Mobile App,VIDEO STREAM KEEPS PIXELATING DUE TO HIGH DROPPED PACKETS ON UPSTREAM LINK.,English,Packet Loss,Downstream Drops,Critical,Medium,Network Operations,Resolved,Eng. Unassigned,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,0.95,True,False,Angry,4,Fiber,Fiber Media Converter,Huawei,3380.33,Significant packet drop detected on connection link.
NTC-202607-007373,2026-07-26,07:27:57,Madhesh,Dhanusha,Residential,Fiber 50Mbps,Social Media,WiFi signal range badhaunu paryo. Neighbor ko interfere bhayo lagchha.,Nepali-English,Weak WiFi,Room Obstruction,Low,Low,Internet Support,Closed,Eng. Ramesh Shrestha,Field team dispatched to site in Dhanusha. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,71.17,False,False,Neutral,5,ADSL,Fiber Media Converter,TP-Link,34.03,Wi-Fi signal propagation issues inside customer premises.
NTC-202607-000820,2026-07-14,07:38:34,Sudurpashchim,Doti,Business,Biz 4G Pro,Social Media,"FIBER KO MAIN BOX LINE MISSING XA, POWER INDICATOR NAYI LIGHT BAALDAINA. URGENT RESPONSE NEEDED!",Nepali-English,ONT Offline,Fiber Attenuation Fault,High,High,Fiber Team,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,True,Frustrated,,FTTH,Smartphone,Nokia,1873.69,ONT optical terminal offline or unregistered.
NTC-202605-006609,2026-05-19,22:12:20,Koshi,Morang,Residential,Fiber 200Mbps,Social Media,NOKIA ONT BOX MA LOS RED LIGHT BALEKO CHHA. CABLE SAB THIK DEKHINCHA TARA NET AAYENA.,Nepali-English,LOS Red,Blinking Red LOS Light,High,High,Fiber Team,Resolved,Eng. Nabin Chaudhary,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,15.86,False,False,Frustrated,1,FTTH,Wi-Fi Router,Netgear,621.97,Loss of Signal (LOS) detected on ONT device.
NTC-202603-007259,2026-03-23,14:46:28,Gandaki,Syangja,Business,Biz 4G Pro,Call Center (198),"Respected Sir, Internet has been down completely since 2 PM. Broadband status says offline.",English,Internet Down,Core Gateway Unreachable,High,High,Internet Support,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Angry,,Fiber,ONT Optical Router,Unknown/Generic,834.34,Total internet connectivity blackout reported by customer.
NTC-202606-014883,2026-06-03,10:29:43,Lumbini,Rupandehi,Business,Biz 4G Pro,Counter Visit,"Cannot resolve specific web domains, DNS probe finished bad config. Please fix ASAP.",English,DNS,DNS Server Timeout,Medium,Medium,Network Operations,Resolved,Eng. Ramesh Shrestha,Field team dispatched to site in Rupandehi. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,26.94,False,False,Neutral,5,5G,Smartphone,N/A,398.49,Primary/Secondary DNS server resolution failure for target domain names.
NTC-202604-010606,2026-04-17,08:25:40,Koshi,Ilam,Residential,Fiber 100Mbps,Web Portal,"SIM block bhayo, incoming ra outgoing kei chaldaena.",Nepali-English,SIM Blocked,Inactivity Suspension,Medium,High,Mobile Team,Closed,Eng. Deepa Sharma,KYC documents manually verified in billing engine system and SIM profile activated.,32.26,False,False,Neutral,5,5G,ONT Optical Router,N/A,247.03,SIM line locked or blocked due to security/inactivity.
NTC-202603-014678,2026-03-31,11:05:44,Gandaki,Syangja,Corporate,Dedicated Enterprise Fiber 1Gbps,Counter Visit,HD TV channels showing black screen with audio buffering error. Urgent response needed!,English,IPTV,Channel Black Screen,Critical,Medium,Internet Support,Resolved,Eng. Bikash Thapa,Field team dispatched to site in Syangja. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,2.74,False,False,Angry,3,FTTH,ONT Optical Router,TP-Link,4966.71,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202604-011213,2026-04-17,05:14:34,Sudurpashchim,Kailali,Business,Corporate Dedicated 50Mbps,Counter Visit,"TV ma iptv channel sab sthapit (freeze) vayo, sound maatra aauchha video audaina.",Nepali-English,IPTV,Set-Top Box Freezing,Medium,Medium,Internet Support,Resolved,Eng. Sita Adhikari,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,13.89,False,False,Frustrated,3,FTTH,ONT Optical Router,Huawei,97.74,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202604-010496,2026-04-18,06:04:54,Sudurpashchim,Doti,Corporate,SLA Premium Fiber,SMS Alert,"NTC Support, Fiber ko main box line missing xa, power indicator nayi light baaldaina.",Nepali-English,ONT Offline,PON Light Out,Critical,High,Fiber Team,Closed,Eng. Sita Adhikari,Field team dispatched to site in Doti. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,0.99,True,False,Angry,4,FTTH,MiFi Dongle,Huawei,1711.6,ONT optical terminal offline or unregistered.
NTC-202602-014128,2026-02-20,14:05:04,Sudurpashchim,Kanchanpur,Government,Secured Intranet SLA,Counter Visit,Problem report - High packet latency jitter during Zoom video call meetings. Kindly check.,English,High Ping,Packet Routing Delay,Critical,Medium,Internet Support,Resolved,Eng. Bikash Thapa,KYC documents manually verified in billing engine system and SIM profile activated.,2.43,False,False,Angry,5,4G,MiFi Dongle,N/A,1829.48,High latency/ping spikes affecting real-time network traffic.
NTC-202603-009893,2026-03-28,14:26:23,Karnali,Jumla,Corporate,Dedicated Enterprise Fiber 1Gbps,Social Media,corporate dedicated link down. immediate field engineer dispatch required as per sla.,Nepali-English,Enterprise,Static IP Routing Drop,Critical,High,Enterprise Support,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,Enterprise Ethernet,4G CPE Router,N/A,6216.08,Dedicated enterprise leased link outage reported with high SLA priority.
NTC-202604-000410,2026-04-03,23:18:52,Karnali,Jumla,Government,Secured Intranet SLA,Mobile App,"RESPECTED SIR, VIDEO STREAM KEEPS PIXELATING DUE TO HIGH DROPPED PACKETS ON UPSTREAM LINK.",English,Packet Loss,Interface Error Frames,Critical,Medium,Network Operations,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,FTTH,ONT Optical Router,Nokia,4055.9,Significant packet drop detected on connection link.
NTC-202607-001286,2026-07-17,18:36:59,Sudurpashchim,Dadeldhura,Business,Biz 4G Pro,Web Portal,PPPoE authentication error 691 invalid username or password on WAN link.,English,Authentication,PPPoE Auth Invalid Password,High,High,Network Operations,Resolved,Eng. Ramesh Shrestha,Field team dispatched to site in Dadeldhura. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,6.28,False,False,Frustrated,3,ADSL,Wi-Fi Router,Netgear,1326.96,PPPoE or RADIUS AAA authentication rejection.
NTC-202605-008923,2026-05-30,17:37:47,Koshi,Ilam,Government,GovNet Enterprise Fiber 100Mbps,Mobile App,SMS MESSAGE CENTER NUMBER WRONG VAYO HOLA SMS NAI PASS HUDAINA. KINDLY CHECK.,Nepali-English,SMS Failure,SMSC Center Error,Low,Low,Mobile Team,In Progress,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,4G CPE Router,N/A,142.67,Customer unable to send or receive SMS / OTP notifications.
NTC-202604-005226,2026-04-13,20:18:17,Sudurpashchim,Achham,Corporate,SLA Premium Fiber,Social Media,"Dear NTC, Pole bata aako fiber cable chindiyo. Tarkari bari agadi fiber baangiyera bhangyo.",Nepali-English,Fiber Cut,PCC Pole Damage,Critical,Critical,Fiber Team,Resolved,Eng. Anish Karki,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,3.4,False,False,Frustrated,3,Fiber,MiFi Dongle,Nokia,7746.53,Physical fiber optic cable break identified; field repair dispatched.
NTC-202606-006910,2026-06-04,11:57:01,Karnali,Rukum West,Corporate,Dedicated Enterprise Fiber 1Gbps,Call Center (198),"Complain: Valorant ma lag bho dherai, ping zero unstable bhaerakhya chha.",Nepali-English,High Ping,International Gateway Jitter,Critical,Medium,Internet Support,Resolved,Eng. Anish Karki,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,1.4,True,False,Angry,4,FTTH,Smartphone,D-Link,6723.94,High latency/ping spikes affecting real-time network traffic.
NTC-202603-007626,2026-03-22,11:02:37,Madhesh,Bara,Government,Secured Intranet SLA,Social Media,Net sabai block vayo. WiFi connected dekhauda ni internet not available dinchha. Kindly check.,Nepali-English,Internet Down,Core Gateway Unreachable,Critical,High,Internet Support,Resolved,Eng. Bikash Thapa,Recharge transaction re-processed manually via payment clearing system; customer account credited.,3.96,False,False,Angry,4,Fiber,Smartphone,Netgear,5240.29,Total internet connectivity blackout reported by customer.
NTC-202604-005982,2026-04-13,20:11:50,Bagmati,Kavrepalanchok,Residential,Fiber 200Mbps,Web Portal,"NUMBER SUSPEND VAYECHA KYC FILL NAGARERA, INSTANT UNBLOCK GARIDINU.",Nepali-English,SIM Blocked,IMEI Blacklisted,Medium,High,Mobile Team,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,Smartphone,N/A,447.44,SIM line locked or blocked due to security/inactivity.
NTC-202603-001092,2026-03-16,03:06:18,Lumbini,Banke,Business,Biz 4G Pro,Call Center (198),Red LOS light showing in fiber device. Checked patch cord connection but problem remains.,English,LOS Red,Optical Power Low,High,High,Fiber Team,Resolved,Eng. Sunita Tamang,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,14.24,False,False,Frustrated,3,Fiber,Smartphone,Tenda,1815.74,Loss of Signal (LOS) detected on ONT device.
NTC-202603-004502,2026-03-15,18:29:04,Sudurpashchim,Kanchanpur,Residential,Fiber 50Mbps,Social Media,Bill invoice copy mail gardinus accounting department ko lagi. Urgent response needed!,Nepali-English,Billing,Tax Invoice Request,Low,Low,Billing,In Progress,Eng. Sita Adhikari,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,4G CPE Router,N/A,72.2,Billing discrepancy or customer account tariff dispute.
NTC-202605-000074,2026-05-01,12:13:43,Sudurpashchim,Dadeldhura,Government,GovNet Dedicated 50Mbps,Mobile App,volte call lagda aawaja nai aaudaina. direct call cut hunchha. urgent response needed!,Nepali-English,Voice Call,VoLTE Call Drop,Critical,Medium,Mobile Team,In Progress,Eng. Deepa Sharma,Pending investigation by assigned field team.,0.0,True,False,Angry,,5G,MiFi Dongle,N/A,3199.19,Voice call quality degradation or call establishment failure.
NTC-202606-006826,2026-06-04,18:06:51,Bagmati,Chitwan,Government,GovNet Enterprise Fiber 100Mbps,Social Media,Complain: Websites haru open hudaina DNS lookup failed bhanxa.,Nepali-English,DNS,CDN Routing Failure,Critical,Medium,Network Operations,Resolved,Eng. Sita Adhikari,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,1.15,True,False,Frustrated,5,Fiber,Wi-Fi Router,Unknown/Generic,2221.92,Primary/Secondary DNS server resolution failure for target domain names.
NTC-202607-011799,2026-07-16,17:40:08,Gandaki,Kaski,Government,GovNet Enterprise Fiber 100Mbps,Counter Visit,Inquiry regarding ownership name transfer procedure for FTTH connection.,English,Others,Shift Connection Request,Low,Low,Customer Care,Resolved,Eng. Sita Adhikari,Recharge transaction re-processed manually via payment clearing system; customer account credited.,39.27,False,True,Happy,5,FTTH,Wi-Fi Router,D-Link,428.79,General inquiry or non-technical support ticket.
NTC-202603-006527,2026-03-17,20:08:55,Gandaki,Nawalpur,Residential,ADSL Standard,SMS Alert,GHAR AGADI KO FIBER CABLE KATYO ROAD CONTRACTOR LE. NET SABAI BANDA BHAYO. URGENT RESPONSE NEEDED!,Nepali-English,Fiber Cut,Road Expansion Damage,Critical,Critical,Fiber Team,Resolved,Eng. Nabin Chaudhary,Recharge transaction re-processed manually via payment clearing system; customer account credited.,5.99,True,False,Frustrated,5,Enterprise Ethernet,Smartphone,N/A,2843.69,Physical fiber optic cable break identified; field repair dispatched.
NTC-202603-011220,2026-03-11,07:22:34,Sudurpashchim,Achham,Residential,4G Unlimited Pack,SMS Alert,Router aafai restart bhai raakhchha 5-5 min ma. Hardware bigryo jasto cha. Thanks.,Nepali-English,Router Issue,Corrupted Firmware,Medium,Medium,Internet Support,Resolved,Eng. Sita Adhikari,KYC documents manually verified in billing engine system and SIM profile activated.,44.47,False,True,Neutral,5,4G,4G CPE Router,N/A,400.77,Hardware or firmware malfunction reported on customer premises router.
NTC-202606-010193,2026-06-23,02:51:13,Madhesh,Bara,Business,BizFiber 300Mbps,Mobile App,Not receiving any bank OTP transaction SMS codes on my mobile number.,English,SMS Failure,OTP SMS Delayed,Low,Low,Mobile Team,In Progress,Eng. Prakash Maharjan,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,Smartphone,N/A,446.29,Customer unable to send or receive SMS / OTP notifications.
NTC-202606-014812,2026-06-22,17:33:16,Gandaki,Tanahu,Corporate,SLA Premium Fiber,Call Center (198),No internet access via WiFi or Ethernet cable. Main server not responding.,English,Internet Down,No Broadband Access,Critical,High,Internet Support,Resolved,Eng. Sunita Tamang,Recharge transaction re-processed manually via payment clearing system; customer account credited.,1.0,True,False,Frustrated,5,Fiber,MiFi Dongle,Huawei,7989.84,Total internet connectivity blackout reported by customer.
NTC-202605-000292,2026-05-12,20:30:41,Sudurpashchim,Achham,Residential,Fiber 50Mbps,Social Media,Channels play garda authorization failed error aairacha setup box ma.,Nepali-English,IPTV,Set-Top Box Freezing,Medium,Medium,Internet Support,Closed,Eng. Subash Giri,Field team dispatched to site in Achham. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,23.55,False,False,Frustrated,3,FTTH,Smartphone,ZTE,467.93,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202604-006087,2026-04-03,08:22:43,Bagmati,Dhading,Corporate,Dedicated Enterprise Fiber 1Gbps,Counter Visit,Subscribed to 100Mbps fiber plan but only receiving 4Mbps speed test result.,English,Internet Slow,Speed Test Below SLA,Critical,Medium,Internet Support,Resolved,Eng. Subash Giri,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,3.95,True,False,Frustrated,5,5G,Wi-Fi Router,N/A,7689.12,Customer experiencing lower than subscribed bandwidth speed.
NTC-202606-007809,2026-06-13,02:24:38,Koshi,Jhapa,Business,BizFiber 150Mbps,SMS Alert,Recharge card ko 16 digit pin numeric card scratch garda dhyabai metiyo.,Nepali-English,Recharge Issue,eSewa / Khalti API Sync Fail,Medium,Medium,Billing,Resolved,Eng. Anish Karki,Recharge transaction re-processed manually via payment clearing system; customer account credited.,9.78,False,False,Neutral,4,5G,4G CPE Router,N/A,377.41,Recharge/Top-up transaction success in payment portal but uncredited in billing Engine.
NTC-202604-009144,2026-04-03,16:32:21,Koshi,Morang,Residential,Fiber 100Mbps,Counter Visit,sim card suddenly showing 'sim rejected' / 'mm#2 blocked' status.,English,SIM Blocked,IMEI Blacklisted,Medium,High,Mobile Team,In Progress,Eng. Anish Karki,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,ONT Optical Router,N/A,181.74,SIM line locked or blocked due to security/inactivity.
NTC-202606-011411,2026-06-14,03:59:29,Koshi,Morang,Corporate,SLA Premium Fiber,Social Media,Fiber wire broken on the main street pole near my home. Fiber link down completely.,English,Fiber Cut,Road Expansion Damage,Critical,Critical,Fiber Team,Resolved,Eng. Anish Karki,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,4.06,True,False,Frustrated,4,FTTH,Smartphone,Tenda,2990.5,Physical fiber optic cable break identified; field repair dispatched.
NTC-202603-008060,2026-03-20,11:47:57,Lumbini,Banke,Business,Corporate Dedicated 50Mbps,Call Center (198),Username password correct hunda pani log-in huna sakina optical connection ma. Thanks.,Nepali-English,Authentication,RADIUS Server Timeout,High,High,Network Operations,Closed,Eng. Sunita Tamang,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,5.94,False,False,Frustrated,5,FTTH,Wi-Fi Router,Huawei,1916.17,PPPoE or RADIUS AAA authentication rejection.
NTC-202602-002090,2026-02-09,03:40:18,Madhesh,Dhanusha,Corporate,Dedicated Internet 100Mbps,Counter Visit,"Setup Box ko red light nai blinks garerax chaina, TV ma NetTV dekhaena.",Nepali-English,IPTV,Channel Black Screen,Critical,Medium,Internet Support,Resolved,Eng. Deepa Sharma,Field team dispatched to site in Dhanusha. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,5.85,True,False,Frustrated,4,FTTH,ONT Optical Router,Unknown/Generic,3487.62,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202605-006287,2026-05-01,05:59:01,Karnali,Dailekh,Business,BizFiber 300Mbps,Call Center (198),Corporate dedicated link down. Immediate field engineer dispatch required as per SLA.,Nepali-English,Enterprise,SLA Violation Alert,High,High,Enterprise Support,Resolved,Eng. Deepa Sharma,Field team dispatched to site in Dailekh. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,3.67,False,False,Frustrated,5,Fiber,Smartphone,Netgear,890.38,Dedicated enterprise leased link outage reported with high SLA priority.
NTC-202605-001802,2026-05-04,21:41:28,Karnali,Salyan,Corporate,Dedicated Internet 100Mbps,Social Media,"problem report - sim card active gardidinus, citizenship verification update bho bhaneko thiyo.",Nepali-English,SIM Activation,KYC Verification Pending,Critical,Medium,Mobile Team,Resolved,Eng. Subash Giri,KYC documents manually verified in billing engine system and SIM profile activated.,0.65,True,False,Frustrated,5,5G,Fiber Media Converter,N/A,7936.6,SIM card provisioning or KYC activation issue.
NTC-202603-013753,2026-03-15,10:51:48,Bagmati,Bhaktapur,Corporate,Dedicated Enterprise Fiber 1Gbps,Mobile App,"RESPECTED SIR, NUMBER SUSPEND VAYECHA KYC FILL NAGARERA, INSTANT UNBLOCK GARIDINU.",Nepali-English,SIM Blocked,PUK Code Locked,Critical,High,Mobile Team,Resolved,Eng. Deepa Sharma,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,2.28,False,False,Frustrated,4,5G,Fiber Media Converter,N/A,5781.3,SIM line locked or blocked due to security/inactivity.
NTC-202603-011823,2026-03-06,03:05:56,Bagmati,Lalitpur,Residential,Fiber 200Mbps,Mobile App,Problem report - eSIM profile download bhayena. QR code invalid dekhaunchha. Waiting for reply.,Nepali-English,SIM Activation,MNP Porting Delay,Medium,Medium,Mobile Team,In Progress,Eng. Subash Giri,Pending investigation by assigned field team.,0.0,False,False,Neutral,,4G,MiFi Dongle,N/A,204.84,SIM card provisioning or KYC activation issue.
NTC-202607-001577,2026-07-01,20:03:24,Karnali,Dailekh,Residential,Fiber 100Mbps,Call Center (198),LATENCY TO SINGAPORE AND INDIA SERVERS IS EXTREMELY HIGH TODAY.,English,High Ping,International Gateway Jitter,Medium,Medium,Internet Support,Resolved,Eng. Sita Adhikari,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,10.46,False,False,Frustrated,1,5G,ONT Optical Router,N/A,196.07,High latency/ping spikes affecting real-time network traffic.
NTC-202607-001111,2026-07-08,17:18:40,Gandaki,Nawalpur,Business,Corporate Dedicated 50Mbps,Mobile App,Ping spikes continuously from 25ms up to 600ms every 30 seconds.,English,High Ping,Gaming Latency Spike,Medium,Medium,Internet Support,Resolved,Eng. Subash Giri,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,30.3,False,False,Neutral,4,5G,ONT Optical Router,N/A,397.59,High latency/ping spikes affecting real-time network traffic.
NTC-202605-000319,2026-05-27,13:10:03,Sudurpashchim,Doti,Residential,ADSL Standard,Counter Visit,SIM ma PUK code maagyo mistakely PIN wrong hanera. Unlock code chahiyo.,Nepali-English,SIM Blocked,PUK Code Locked,Medium,High,Mobile Team,Resolved,Eng. Deepa Sharma,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,33.26,False,False,Neutral,4,5G,Fiber Media Converter,N/A,11.74,SIM line locked or blocked due to security/inactivity.
NTC-202603-010401,2026-03-03,11:05:23,Gandaki,Gorkha,Residential,Fiber 100Mbps,Counter Visit,"SIM card active gardidinus, citizenship verification update bho bhaneko thiyo. Waiting for reply.",Nepali-English,SIM Activation,eSIM QR Code Failure,Medium,Medium,Mobile Team,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,10.26,False,False,Frustrated,1,5G,Fiber Media Converter,N/A,99.1,SIM card provisioning or KYC activation issue.
NTC-202606-007803,2026-06-06,03:15:46,Sudurpashchim,Doti,Government,Secured Intranet SLA,Mobile App,"Internet dammi slow cha, 200Mbps ko package ho tara speed 5Mbps ni aaudaina.",Nepali-English,Internet Slow,Bandwidth Throttled,Critical,Medium,Internet Support,Resolved,Eng. Deepa Sharma,Field team dispatched to site in Doti. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,4.89,False,False,Frustrated,3,5G,Fiber Media Converter,N/A,4534.54,Customer experiencing lower than subscribed bandwidth speed.
NTC-202605-013591,2026-05-06,12:28:55,Sudurpashchim,Kanchanpur,Residential,ADSL Standard,Web Portal,Phone garda Network Busy matra dekhauchha continuous. Please fix ASAP.,Nepali-English,Voice Call,One-Way Audio,Medium,Medium,Mobile Team,Resolved,Eng. Ramesh Shrestha,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,47.88,False,True,Frustrated,1,4G,Fiber Media Converter,N/A,104.69,Voice call quality degradation or call establishment failure.
NTC-202603-006197,2026-03-13,21:49:27,Gandaki,Kaski,Residential,Fiber 50Mbps,Call Center (198),"Heloo support team, Video stream keeps pixelating due to high dropped packets on upstream link.",English,Packet Loss,Upstream Loss >15%,Medium,Medium,Network Operations,Closed,Eng. Deepa Sharma,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,16.59,False,False,Frustrated,2,Fiber,MiFi Dongle,D-Link,95.79,Significant packet drop detected on connection link.
NTC-202604-001826,2026-04-15,09:27:10,Bagmati,Kavrepalanchok,Corporate,SLA Premium Fiber,Mobile App,Inquiry regarding ownership name transfer procedure for FTTH conection.,English,Others,Shift Connection Request,Low,Low,Customer Care,Closed,Eng. Bikash Thapa,Recharge transaction re-processed manually via payment clearing system; customer account credited.,70.37,False,False,Happy,5,FTTH,4G CPE Router,Tenda,101.51,General inquiry or non-technical support ticket.
NTC-202607-003147,2026-07-24,04:06:29,Madhesh,Sarlahi,Corporate,SLA Premium Fiber,SMS Alert,eSewa bata recharge gareko paisa katyo tara account ma balance credit bhayena. Please fix ASAP.,Nepali-English,Recharge Issue,eSewa / Khalti API Sync Fail,Critical,Medium,Billing,Resolved,Eng. Subash Giri,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,5.78,False,False,Angry,3,5G,Fiber Media Converter,N/A,6640.65,Recharge/Top-up transaction success in payment portal but uncredited in billing Engine.
NTC-202607-006453,2026-07-31,19:38:49,Koshi,Udayapur,Corporate,SLA Premium Fiber,Mobile App,Beluka dekhi internet chalena. Office work completely stuck cha. Waiting for reply.,Nepali-English,Internet Down,WAN IP Disconnected,Critical,High,Internet Support,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,True,False,Angry,,ADSL,MiFi Dongle,Unknown/Generic,4919.5,Total internet connectivity blackout reported by customer.
NTC-202603-004487,2026-03-13,09:03:35,Gandaki,Lamjung,Residential,Fiber 50Mbps,SMS Alert,"Respected Sir, No internet access via WiFi or Ethernet cable. Main server not responding. Thanks.",English,Internet Down,WAN IP Disconnected,High,High,Internet Support,In Progress,Eng. Nabin Chaudhary,Pending investigation by assigned field team.,0.0,False,False,Frustrated,,ADSL,ONT Optical Router,Huawei,2197.46,Total internet connectivity blackout reported by customer.
NTC-202607-003412,2026-07-22,23:56:06,Bagmati,Kathmandu,Government,GovNet Enterprise Fiber 100Mbps,Social Media,"dear ntc, sites loading when using 8.8.8.8 but failing on automatic dns.",English,DNS,Domain Name Unresolvable,Critical,Medium,Network Operations,Closed,Eng. Deepa Sharma,Replaced faulty power supply adapter unit for ONT device. Verified line online status.,1.71,True,False,Frustrated,3,5G,ONT Optical Router,N/A,7482.94,Primary/Secondary DNS server resolution failure for target domain names.
NTC-202605-000145,2026-05-30,08:57:23,Sudurpashchim,Kailali,Government,Secured Intranet SLA,Call Center (198),"NTC Support, Fiber adapter le light baalena. ONT device offline bhayo bilkul.",Nepali-English,ONT Offline,ONT Power Off,Critical,High,Fiber Team,Pending,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Frustrated,,FTTH,Fiber Media Converter,Netgear,6764.71,ONT optical terminal offline or unregistered.
NTC-202607-009961,2026-07-04,00:29:47,Lumbini,Palpa,Government,GovNet Enterprise Fiber 100Mbps,Social Media,urgent: video stream keeps pixelating due to high dropped packets on upstream link.,English,Packet Loss,Interface Error Frames,Critical,Medium,Network Operations,In Progress,Eng. Deepa Sharma,Pending investigation by assigned field team.,0.0,True,False,Frustrated,,Fiber,ONT Optical Router,Tenda,7861.71,Significant packet drop detected on connection link.
NTC-202607-004563,2026-07-11,06:50:50,Gandaki,Tanahu,Government,GovNet Dedicated 50Mbps,SMS Alert,"Packet loss bho dherai, cmd ma ping garda request timed out aauchha continuous. Solved this fast.",Nepali-English,Packet Loss,Interface Error Frames,Critical,Medium,Network Operations,Resolved,Eng. Bikash Thapa,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,0.51,False,False,Angry,3,FTTH,ONT Optical Router,TP-Link,2760.39,Significant packet drop detected on connection link.
NTC-202607-007736,2026-07-30,06:29:46,Sudurpashchim,Dadeldhura,Residential,Fiber 50Mbps,Social Media,"Respected Sir, Default DNS server le IP resolve garena.",Nepali-English,DNS,Domain Name Unresolvable,Medium,Medium,Network Operations,Resolved,Eng. Sunita Tamang,Adjusted WiFi radio channel frequencies and updated router firmware to resolve stability issue.,32.84,False,False,Neutral,4,4G,ONT Optical Router,N/A,82.04,Primary/Secondary DNS server resolution failure for target domain names.
